report_date,lev_money_long,lev_money_short
2006-06-13,49945.0,7623.0
2006-06-20,37815.0,12996.0
2006-06-27,51142.0,11361.0
2006-07-03,64455.0,11561.0
2006-07-11,69298.0,10862.0
2006-07-18,50192.0,10830.0
2006-07-25,46022.0,13658.0
2006-08-01,59548.0,8527.0
2006-08-08,74394.0,6944.0
2006-08-15,73151.0,6576.0
2006-08-22,68246.0,6883.0
2006-08-29,63077.0,7535.0
2006-09-05,59319.0,9214.0
2006-09-12,61227.0,10696.0
2006-09-19,46743.0,13340.0
2006-09-26,43390.0,11950.0
2006-10-03,50567.0,13037.0
2006-10-10,41815.0,28722.0
2006-10-17,41452.0,34619.0
2006-10-24,41209.0,37360.0
2006-10-31,55998.0,14863.0
2006-11-07,68434.0,13554.0
2006-11-14,56684.0,9314.0
2006-11-21,58168.0,8740.0
2006-11-28,72313.0,11785.0
2006-12-05,80295.0,13077.0
2006-12-12,82572.0,7682.0
2006-12-19,78431.0,8431.0
2006-12-26,70848.0,10888.0
2007-01-03,64339.0,11520.0
2007-01-09,57696.0,10102.0
2007-01-16,34131.0,9659.0
2007-01-23,41113.0,10734.0
2007-01-30,47316.0,14363.0
2007-02-06,36900.0,18984.0
2007-02-13,64685.0,15011.0
2007-02-20,73637.0,10136.0
2007-02-27,82058.0,12322.0
2007-03-06,66258.0,10419.0
2007-03-13,71773.0,8119.0
2007-03-20,72699.0,7062.0
2007-03-27,81280.0,12474.0
2007-04-03,86207.0,10320.0
2007-04-10,94986.0,10360.0
2007-04-17,93752.0,12723.0
2007-04-24,103806.0,18369.0
2007-05-01,101484.0,15739.0
2007-05-08,96771.0,16830.0
2007-05-15,112640.0,19139.0
2007-05-22,90284.0,21496.0
2007-05-29,87434.0,18099.0
2007-06-05,81534.0,19823.0
2007-06-12,55536.0,34942.0
2007-06-19,51998.0,31803.0
2007-06-26,58624.0,22143.0
2007-07-03,67570.0,17195.0
2007-07-10,93516.0,18151.0
2007-07-17,91494.0,10713.0
2007-07-24,95278.0,10397.0
2007-07-31,73550.0,13283.0
2007-08-07,82984.0,21788.0
2007-08-14,61978.0,13323.0
2007-08-21,44309.0,21312.0
2007-08-28,45442.0,20754.0
2007-09-04,50636.0,20161.0
2007-09-11,58787.0,17642.0
2007-09-18,95224.0,13531.0
2007-09-25,88631.0,23076.0
2007-10-02,103706.0,22405.0
2007-10-09,88321.0,16924.0
2007-10-16,85511.0,21735.0
2007-10-23,72610.0,24082.0
2007-10-30,70718.0,23170.0
2007-11-06,81008.0,28136.0
2007-11-13,67075.0,29570.0
2007-11-20,69460.0,32056.0
2007-11-27,63437.0,18378.0
2007-12-04,68060.0,18048.0
2007-12-11,60608.0,20836.0
2007-12-18,46533.0,26174.0
2007-12-24,48065.0,34141.0
2007-12-31,47563.0,37528.0
2008-01-08,60804.0,39143.0
2008-01-15,54267.0,36209.0
2008-01-22,42879.0,41425.0
2008-01-29,44621.0,40506.0
2008-02-05,44196.0,40567.0
2008-02-12,33149.0,43001.0
2008-02-19,41386.0,43320.0
2008-02-26,56943.0,40745.0
2008-03-04,54400.0,46974.0
2008-03-11,57051.0,56192.0
2008-03-18,54498.0,57359.0
2008-03-25,72228.0,49461.0
2008-04-01,59500.0,43804.0
2008-04-08,65643.0,43759.0
2008-04-15,59182.0,42160.0
2008-04-22,60272.0,40368.0
2008-04-29,28168.0,45777.0
2008-05-06,34565.0,48458.0
2008-05-13,34124.0,44653.0
2008-05-20,48111.0,43572.0
2008-05-27,40397.0,40895.0
2008-06-03,36133.0,48614.0
2008-06-10,38622.0,43631.0
2008-06-17,31970.0,31220.0
2008-06-24,38854.0,28967.0
2008-07-01,68891.0,28750.0
2008-07-08,60653.0,25314.0
2008-07-15,68593.0,29830.0
2008-07-22,57619.0,31646.0
2008-07-29,34272.0,39111.0
2008-08-05,36774.0,39650.0
2008-08-12,24646.0,29763.0
2008-08-19,26693.0,29979.0
2008-08-26,24555.0,39694.0
2008-09-02,24250.0,48558.0
2008-09-09,22725.0,39031.0
2008-09-16,14053.0,49777.0
2008-09-23,19754.0,39963.0
2008-09-30,13668.0,32573.0
2008-10-07,20761.0,27101.0
2008-10-14,16795.0,28892.0
2008-10-21,16547.0,26599.0
2008-10-28,21570.0,24732.0
2008-11-04,20968.0,22114.0
2008-11-11,18122.0,24540.0
2008-11-18,18216.0,25310.0
2008-11-25,22927.0,20163.0
2008-12-02,26188.0,21993.0
2008-12-09,22605.0,17639.0
2008-12-16,17723.0,20712.0
2008-12-22,18580.0,17933.0
2008-12-30,21011.0,19213.0
2009-01-06,20881.0,20562.0
2009-01-13,13656.0,19648.0
2009-01-20,14747.0,19736.0
2009-01-27,20159.0,19934.0
2009-02-03,19149.0,23849.0
2009-02-10,22785.0,26947.0
2009-02-17,15216.0,33365.0
2009-02-24,13614.0,29583.0
2009-03-03,15189.0,40939.0
2009-03-10,17583.0,33078.0
2009-03-17,20960.0,27809.0
2009-03-24,23099.0,22456.0
2009-03-31,16447.0,16361.0
2009-04-07,21126.0,16285.0
2009-04-14,17007.0,16058.0
2009-04-21,12767.0,19641.0
2009-04-28,10831.0,21193.0
2009-05-05,12971.0,17437.0
2009-05-12,18659.0,16685.0
2009-05-19,23142.0,15935.0
2009-05-26,27952.0,17528.0
2009-06-02,32713.0,23762.0
2009-06-09,33231.0,25014.0
2009-06-16,21079.0,14566.0
2009-06-23,29167.0,15897.0
2009-06-30,25941.0,16232.0
2009-07-07,27838.0,26034.0
2009-07-14,27218.0,18151.0
2009-07-21,49036.0,18667.0
2009-07-28,41816.0,20722.0
2009-08-04,46369.0,18954.0
2009-08-11,31829.0,17101.0
2009-08-18,22377.0,26675.0
2009-08-25,32583.0,22310.0
2009-09-01,29097.0,22154.0
2009-09-08,41471.0,24965.0
2009-09-15,58407.0,15827.0
2009-09-22,59390.0,17724.0
2009-09-29,55883.0,18719.0
2009-10-06,67184.0,17101.0
2009-10-13,63547.0,18841.0
2009-10-20,61589.0,24507.0
2009-10-27,47566.0,20661.0
2009-11-03,44419.0,24749.0
2009-11-09,49486.0,25590.0
2009-11-17,46307.0,34453.0
2009-11-24,54722.0,31596.0
2009-12-01,53616.0,28324.0
2009-12-08,32349.0,34573.0
2009-12-15,25933.0,46633.0
2009-12-22,22315.0,47303.0
2009-12-29,16752.0,60063.0
2010-01-05,21682.0,63783.0
2010-01-12,21776.0,41932.0
2010-01-19,15107.0,48961.0
2010-01-26,16828.0,60431.0
2010-02-02,12809.0,62929.0
2010-02-09,15651.0,72717.0
2010-02-16,17149.0,69041.0
2010-02-23,18369.0,81838.0
2010-03-02,18694.0,79660.0
2010-03-09,17907.0,92561.0
2010-03-16,18336.0,79044.0
2010-03-23,18919.0,102137.0
2010-03-30,10606.0,118115.0
2010-04-06,17088.0,99772.0
2010-04-13,21493.0,90407.0
2010-04-20,20846.0,92908.0
2010-04-27,20500.0,111862.0
2010-05-04,18041.0,127312.0
2010-05-11,21525.0,144148.0
2010-05-18,37605.0,153869.0
2010-05-25,27228.0,147870.0
2010-06-01,24084.0,134044.0
2010-06-08,29109.0,143057.0
2010-06-15,29958.0,109270.0
2010-06-22,23800.0,110231.0
2010-06-29,26862.0,113255.0
2010-07-06,34464.0,83845.0
2010-07-13,30129.0,72779.0
2010-07-20,30298.0,71049.0
2010-07-27,34118.0,67984.0
2010-08-03,34148.0,59251.0
2010-08-10,33402.0,49230.0
2010-08-17,35139.0,63817.0
2010-08-24,29115.0,65757.0
2010-08-31,32332.0,64492.0
2010-09-07,29100.0,70229.0
2010-09-14,33007.0,60803.0
2010-09-21,29290.0,44965.0
